Título,Preço Original,Desconto,Disponibilidade,Pré-venda,Link
X 02,"R$ 49,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/x-02-aclam002
Solo Leveling 03,"R$ 74,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/solo-leveling-03
Solo Leveling 02,"R$ 74,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/solo-leveling-02-asolo002r
Frieren E A Jornada Para O Além Vol. 4,"R$ 39,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/frieren-e-a-jornada-para-o-alem-vol-4-asfri004r2
Frieren E A Jornada Para O Além Vol. 5,"R$ 39,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/frieren-e-a-jornada-para-o-alem-vol-5-asfri005r
Frieren E A Jornada Para O Além Vol. 6,"R$ 39,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/frieren-e-a-jornada-para-o-alem-vol-6-asfri006r
Demon Slayer - Kimetsu No Yaiba Vol. 12,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/demon-slayer-kimetsu-no-yaiba-vol-12-amkiy012r5
Bungo Stray Dogs Vol. 22,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/bungo-stray-dogs-vol-22-amaet022r
Bungo Stray Dogs Vol. 20,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/bungo-stray-dogs-vol-20-amaet020r
Bungo Stray Dogs Vol. 21,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/bungo-stray-dogs-vol-21-amaet021r
Bungo Stray Dogs Vol. 19,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/bungo-stray-dogs-vol-19-amaet019r
Bungo Stray Dogs Vol. 18,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/bungo-stray-dogs-vol-18-amaet018r
Bungo Stray Dogs Vol. 17,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/bungo-stray-dogs-vol-17-amaet017r
Bungo Stray Dogs Vol. 15,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/bungo-stray-dogs-vol-15-amaet015r
Bungo Stray Dogs Vol. 16,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/bungo-stray-dogs-vol-16-amaet016r
Bungo Stray Dogs Vol. 11,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/bungo-stray-dogs-vol-11-amaet011r
Bungo Stray Dogs Vol. 14,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/bungo-stray-dogs-vol-14-amaet014r
Bungo Stray Dogs Vol. 13,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/bungo-stray-dogs-vol-13-amaet013r
Bungo Stray Dogs Vol. 12,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/bungo-stray-dogs-vol-12-amaet012r
Dragon Ball Super Vol. 4,"R$ 37,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/dragon-ball-super-vol-4-amaej004r4
Black Clover Vol. 4,"R$ 41,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/black-clover-vol-4-amaeb004r3
Radiant Vol. 2,"R$ 40,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/radiant-vol-2-amaeu002r
One-Punch Man Vol. 4,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/one-punch-man-vol-4-amabf004r3
One-Punch Man Vol. 3,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/one-punch-man-vol-3-amabf003r3
Solo Leveling 01,"R$ 74,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/solo-leveling-01-asolo001r
Black Clover Vol. 1,"R$ 41,90",Sem desconto,Disponível,Não,https://panini.com.br/black-clover-vol-1-amaeb001r5
Dandadan 05,"R$ 44,90",Sem desconto,Disponível,Não,https://panini.com.br/dandadan-05-adand005r2
Dandadan 04,"R$ 44,90",Sem desconto,Disponível,Não,https://panini.com.br/dandadan-04-adand004r2
Dandadan 01,"R$ 44,90",Sem desconto,Disponível,Não,https://panini.com.br/dandadan-01-adand001r3
Dandadan 02,"R$ 44,90",Sem desconto,Disponível,Não,https://panini.com.br/dandadan-02-adand002r3
Dandadan 03,"R$ 44,90",Sem desconto,Disponível,Não,https://panini.com.br/dandadan-03
Strobe Edge 02,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/strobe-edge-02
Será Que Esse Amor é Irresistível? 01,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/sera-que-esse-amor-e-irresistivel-01
Shangri-la Frontier Vol. 19,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/shangri-la-frontier-vol-19
Sono Bisque Doll: Minha Adorável Cosplayer 14,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/sono-bisque-doll-minha-adoravel-cosplayer-14
Solo Leveling 07,"R$ 74,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/solo-leveling-07
Ragna Crimson 14,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/ragna-crimson-14
Pokémon X & Y 01,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/pokemon-x-y-01
Pluto: Edição De Luxo 05,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/pluto-edicao-de-luxo-05
One Piece 3 Em 1 Vol. 35,"R$ 93,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/one-piece-3-em-1-vol-35
"Não Mexa Comigo, Nagatoro 11","R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/nao-mexa-comigo-nagatoro-11
One-Punch Man Vol. 32,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/one-punch-man-vol-32
Um Amor Impossível! Ou Não... 07,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/um-amor-impossivel-ou-nao-07
Marriage Toxin 06,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/marriage-toxin-06
Lycoris Recoil - Anthology - Repeat 01,"R$ 55,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/lycoris-recoil-anthology-repeat-01
O Guarda-Costas De Honeko Akabane 08,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/o-guarda-costas-de-honeko-akabane-08
O Longo Verão De 31 De Agosto 02,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/o-longo-verao-de-31-de-agosto-02
Vou Me Apaixonar Por Você Mesmo Assim 09,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/vou-me-apaixonar-por-voce-mesmo-assim-09
Gachiakuta 09,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/gachiakuta-09
DRCL - Midnight Children 02,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/drcl-midnight-children-02
Chainsaw Man Vol. 19,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/chainsaw-man-vol-19
A Lança Lendária E O Escudo Impenetrável 04,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/a-lanca-lendaria-e-o-escudo-impenetravel-04
Choujin X 11,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/choujin-x-11
Billy Bat 03,"R$ 95,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/billy-bat-03
After God 05,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/after-god-05
Mabataki Yori Hayaku!! - Num Piscar De Olhos 11,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/mabataki-yori-hayaku-num-piscar-de-olhos-11
Jojo's Bizarre Adventure – Parte 7 – Steel Ball Run 03,"R$ 49,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/jojos-bizarre-adventure-parte-7-steel-ball-run-03
Gokushufudou - Tatsu Imortal 15,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/gokushufudou-tatsu-imortal-15
Magilumiere: Companhia Das Garotas Mágicas 09,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/magilumiere-companhia-das-garotas-magicas-09
Demon Slayer: Academia 05,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/demon-slayer-academia-05
Kaiju N.° 8 Vol. 14,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/kaiju-n-8-vol-14
Hen Na Ie 01,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/hen-na-ie-01
Honey Lemon Soda 01,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/honey-lemon-soda-01
Initial D 06,"R$ 74,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/initial-d-06
Caçando Dragões Vol. 18,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/cacando-dragoes-vol-18
Vinland Saga Deluxe Vol. 4,"R$ 54,90",Sem desconto,Disponível,Não,https://panini.com.br/vinland-saga-deluxe-vol-4-avisa004r2
Vinland Saga Deluxe Vol. 3,"R$ 54,90",Sem desconto,Disponível,Não,https://panini.com.br/vinland-saga-deluxe-vol-3-avisa003r2
Dragon Ball Vol. 5,"R$ 34,90","R$ 22,69",Disponível,Não,https://panini.com.br/dragon-ball-vol-5-amadr005r4
Dragon Ball Vol. 2,"R$ 34,90","R$ 22,69",Disponível,Não,https://panini.com.br/dragon-ball-vol-2-amadr002r4
Vinland Saga Deluxe Vol. 5,"R$ 54,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/vinland-saga-deluxe-vol-5-avisa005r2
One-Punch Man Vol. 2,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/one-punch-man-vol-2-amabf002r3
Radiant Vol. 1,"R$ 40,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/radiant-vol-1-amaeu001r
Vagabond Vol. 4,"R$ 41,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/vagabond-vol-4-amabp004r3
One-Punch Man Vol. 1,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/one-punch-man-vol-1-amabf001r3
Jujutsu Kaisen: Batalha De Feiticeiros Vol. 11,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/jujutsu-kaisen-batalha-de-feiticeiros-vol-11-amjuk011r3
Dragon Ball Super Vol. 3,"R$ 37,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/dragon-ball-super-vol-3-amaej003r5
Boruto: Naruto Next Generations Vol. 1,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/boruto-naruto-next-generations-vol-1-amaei001r3
Gachiakuta 01,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/gachiakuta-01-agach001r
One Piece Vol. 9,"R$ 41,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/one-piece-vol-9-amaop009r3
Naruto Gold Vol. 7,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/naruto-gold-vol-7-amaxr007r5
Naruto Gold Vol. 10,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/naruto-gold-vol-10-amaxr010r5
One Piece Vol. 10,"R$ 41,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/one-piece-vol-10-amaop010r3
Naruto Gold Vol. 9,"R$ 43,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/naruto-gold-vol-9-amaxr009r5
Berserk - Edição De Luxo Vol. 21,"R$ 44,90",Sem desconto,Disponível,Não,https://panini.com.br/berserk-edicao-de-luxo-vol-21-amaxs021r4
Berserk - Edição De Luxo Vol. 24,"R$ 44,90",Sem desconto,Disponível,Não,https://panini.com.br/berserk-edicao-de-luxo-vol-24-amaxs024r4
Berserk - Edição De Luxo Vol. 23,"R$ 44,90",Sem desconto,Disponível,Não,https://panini.com.br/berserk-edicao-de-luxo-vol-23-amaxs023r4
Berserk - Edição De Luxo Vol. 33,"R$ 44,90",Sem desconto,Disponível,Não,https://panini.com.br/berserk-edicao-de-luxo-vol-33-amaxs033r2
Spy X Family Vol. 9,"R$ 44,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/spy-x-family-vol-9-aspfa009r2
